[2025-03-24 19:09:07,291][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:08,582][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:09,475][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:10,232][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:11,215][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:36,016][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:36,737][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:38,779][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:39,341][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:40,114][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:43,461][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:43,461][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:43,982][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:43,982][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:43,982][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:43,982][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:44,012][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:44,012][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:44,012][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:44,013][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:44,627][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:44,627][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:44,668][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:44,811][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:44,812][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:47,143][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:47,305][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:47,315][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:47,356][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:47,357][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:47,395][__main__][INFO] - Load dataset ...
[2025-03-24 19:09:47,395][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:18,577][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:18,578][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:18,887][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:21,028][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:21,063][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:42,624][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:42,625][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:42,794][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:43,677][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:43,677][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:44,318][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:44,365][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:44,365][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:44,365][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:44,365][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:44,913][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:44,990][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:44,990][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:44,990][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:44,990][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:45,069][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:45,069][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:45,098][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:45,157][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:45,355][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:47,357][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:47,412][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:47,583][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:47,585][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:47,739][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:47,916][__main__][INFO] - Load dataset ...
[2025-03-24 20:27:48,824][__main__][INFO] - Load dataset ...
[2025-03-25 00:12:38,397][__main__][INFO] - Load dataset ...
[2025-03-25 00:12:38,520][__main__][WARNING] - Model file /storage/ice1/2/6/madewolu9/LLM_PointNet/LLM-Guided-PointCloud-Class/models/Menghao/model.py does not exist. Skipping this model.
[2025-03-25 00:12:41,485][__main__][INFO] - Load dataset ...
[2025-03-25 00:12:41,486][__main__][INFO] - Load dataset ...
[2025-03-25 00:12:41,528][__main__][WARNING] - Model file /storage/ice1/2/6/madewolu9/LLM_PointNet/LLM-Guided-PointCloud-Class/models/Menghao/model.py does not exist. Skipping this model.
[2025-03-25 00:12:41,538][__main__][WARNING] - Model file /storage/ice1/2/6/madewolu9/LLM_PointNet/LLM-Guided-PointCloud-Class/models/Menghao/model.py does not exist. Skipping this model.
[2025-03-25 00:12:41,774][__main__][INFO] - Load dataset ...
[2025-03-25 00:12:41,774][__main__][INFO] - Load dataset ...
[2025-03-25 00:12:41,817][__main__][WARNING] - Model file /storage/ice1/2/6/madewolu9/LLM_PointNet/LLM-Guided-PointCloud-Class/models/Menghao/model.py does not exist. Skipping this model.
[2025-03-25 00:12:41,828][__main__][WARNING] - Model file /storage/ice1/2/6/madewolu9/LLM_PointNet/LLM-Guided-PointCloud-Class/models/Menghao/model.py does not exist. Skipping this model.
[2025-03-25 00:13:04,795][__main__][INFO] - Load dataset ...
[2025-03-25 00:13:04,848][__main__][WARNING] - Model file /storage/ice1/2/6/madewolu9/LLM_PointNet/LLM-Guided-PointCloud-Class/models/Menghao/model.py does not exist. Skipping this model.
[2025-03-25 00:13:07,826][__main__][INFO] - Load dataset ...
[2025-03-25 00:13:07,875][__main__][WARNING] - Model file /storage/ice1/2/6/madewolu9/LLM_PointNet/LLM-Guided-PointCloud-Class/models/Menghao/model.py does not exist. Skipping this model.
[2025-03-25 00:13:07,911][__main__][INFO] - Load dataset ...
[2025-03-25 00:13:07,911][__main__][INFO] - Load dataset ...
